total_stages,completed_stages,points_awarded
4,1,1
4,2,7
4,3,16
4,4,30
5,1,2
5,2,11
5,3,25
5,4,44
5,5,70
6,1,2
6,2,11
6,3,25
6,4,44
6,5,69
6,6,100
7,1,2
7,2,9
7,3,22
7,4,39
7,5,61
7,6,88
7,7,120
8,1,2
8,2,9
8,3,21
8,4,37
8,5,58
8,6,84
8,7,114
8,8,150
9,1,2
9,2,8
9,3,20
9,4,35
9,5,55
9,6,80
9,7,108
9,8,142
9,9,180
10,1,2
10,2,8
10,3,18
10,4,33
10,5,52
10,6,75
10,7,102
10,8,134
10,9,170
10,10,210
11,1,1
11,2,7
11,3,17
11,4,30
11,5,47
11,6,68
11,7,92
11,8,121
11,9,153
11,10,189
11,11,229
12,1,1
12,2,6
12,3,15
12,4,27
12,5,43
12,6,62
12,7,85
12,8,111
12,9,140
12,10,173
12,11,210
12,12,250
13,1,1
13,2,6
13,3,13
13,4,24
13,5,37
13,6,54
13,7,73
13,8,96
13,9,121
13,10,150
13,11,181
13,12,216
13,13,254
14,1,1
14,2,5
14,3,11
14,4,21
14,5,33
14,6,47
14,7,65
14,8,84
14,9,107
14,10,132
14,11,160
14,12,191
14,13,224
14,14,260
15,1,1
15,2,4
15,3,10
15,4,19
15,5,30
15,6,43
15,7,58
15,8,76
15,9,97
15,10,120
15,11,145
15,12,172
15,13,202
15,14,235
15,15,270
16,1,1
16,2,4
16,3,9
16,4,17
16,5,27
16,6,39
16,7,53
16,8,70
16,9,88
16,10,109
16,11,132
16,12,157
16,13,184
16,14,214
16,15,246
16,16,280
17,1,1
17,2,4
17,3,9
17,4,16
17,5,25
17,6,36
17,7,49
17,8,64
17,9,81
17,10,100
17,11,121
17,12,144
17,13,169
17,14,196
17,15,225
17,16,256
17,17,290
18,1,0
18,2,3
18,3,8
18,4,14
18,5,23
18,6,33
18,7,45
18,8,59
18,9,75
18,10,92
18,11,112
18,12,133
18,13,156
18,14,181
18,15,208
18,16,237
18,17,267
18,18,300
